指数,年月,地域,カテゴリ,数値,単位
指数,2018年3月,全国,0001 総合,99.2,
指数,2018年3月,全国,0002 食料,98.2,
指数,2018年3月,全国,0003 穀類,98.7,
指数,2018年3月,全国,0004 米類,99.6,
指数,2018年3月,全国,1001 うるち米Ａ,99.4,
指数,2018年3月,全国,1002 うるち米Ｂ,100,
指数,2018年3月,全国,0005 パン,98.7,
指数,2018年3月,全国,1021 食パン,99.4,
指数,2018年3月,全国,1022 あんパン,96.3,
指数,2018年3月,全国,1023 カレーパン,100.8,
指数,2018年3月,全国,0006 麺類,97.2,
指数,2018年3月,全国,1031 ゆでうどん,97.2,
指数,2018年3月,全国,1041 そうめん,98.5,
指数,2018年3月,全国,1042 スパゲッティ,98.5,
指数,2018年3月,全国,1051 カップ麺,96.4,
指数,2018年3月,全国,1052 中華麺,97.3,
指数,2018年3月,全国,0007 他の穀類,100,
指数,2018年3月,全国,1071 小麦粉,93.5,
指数,2018年3月,全国,1081 もち,102.8,
指数,2018年3月,全国,0008 魚介類,98.6,
指数,2018年3月,全国,0009 生鮮魚介,100.4,
指数,2018年3月,全国,1101 まぐろ,110.5,
指数,2018年3月,全国,1102 あじ,104.8,
指数,2018年3月,全国,1103 いわし,91.8,
指数,2018年3月,全国,1104 かつお,103.9,
指数,2018年3月,全国,1106 さけ,102.2,
指数,2018年3月,全国,1107 さば,109.6,
指数,2018年3月,全国,1108 さんま,70.5,
指数,2018年3月,全国,1110 たい,99.7,
指数,2018年3月,全国,1111 ぶり,99.7,
指数,2018年3月,全国,1112 いか,93.1,
指数,2018年3月,全国,1113 たこ,99,
指数,2018年3月,全国,1114 えび,101.9,
指数,2018年3月,全国,1131 あさり,95,
指数,2018年3月,全国,1132 かき（貝）,90.2,
指数,2018年3月,全国,1133 ほたて貝,122.6,
指数,2018年3月,全国,0010 塩干魚介,97,
指数,2018年3月,全国,1141 塩さけ,98.5,
指数,2018年3月,全国,1142 たらこ,97.7,
指数,2018年3月,全国,1143 しらす干し,95,
指数,2018年3月,全国,1144 干しあじ,97.1,
指数,2018年3月,全国,1146 煮干し,94.2,
指数,2018年3月,全国,1150 ししゃも,86.3,
指数,2018年3月,全国,1167 いくら,101.3,
指数,2018年3月,全国,0011 魚肉練製品,96.5,
指数,2018年3月,全国,1151 揚げかまぼこ,96.6,
指数,2018年3月,全国,1152 ちくわ,97.7,
指数,2018年3月,全国,1153 かまぼこ,95.8,
指数,2018年3月,全国,0012 他の魚介加工品,95,
指数,2018年3月,全国,1161 かつお節,99,
指数,2018年3月,全国,1165 魚介漬物,93.3,
指数,2018年3月,全国,1166 魚介つくだ煮,95.2,
指数,2018年3月,全国,1173 魚介缶詰,95.7,
指数,2018年3月,全国,0013 肉類,98.1,
指数,2018年3月,全国,0014 生鮮肉,97,
指数,2018年3月,全国,1201 牛肉（国産品）,95.7,
指数,2018年3月,全国,1203 牛肉（輸入品）,92.9,
指数,2018年3月,全国,1211 豚肉（国産品）,94.8,
指数,2018年3月,全国,1221 鶏肉,100.6,
指数,2018年3月,全国,0015 加工肉,103.2,
指数,2018年3月,全国,1252 ハム,102.2,
指数,2018年3月,全国,1261 ソーセージ,104.4,
指数,2018年3月,全国,1271 ベーコン,101.9,
指数,2018年3月,全国,0016 乳卵類,95.7,
指数,2018年3月,全国,0017 牛乳・乳製品,94.3,
指数,2018年3月,全国,0018 牛乳,96.1,
指数,2018年3月,全国,1303 牛乳,96.1,
指数,2018年3月,全国,0019 乳製品,92.9,
指数,2018年3月,全国,1311 粉ミルク,100,
指数,2018年3月,全国,1333 ヨーグルト,90.4,
指数,2018年3月,全国,1321 バター,99.5,
指数,2018年3月,全国,1331 チーズ（国産品）,97.6,
指数,2018年3月,全国,1332 チーズ（輸入品）,96.4,
指数,2018年3月,全国,0020 卵,101.1,
指数,2018年3月,全国,1341 鶏卵,101.1,
指数,2018年3月,全国,0021 野菜・海藻,102.5,
指数,2018年3月,全国,0022 生鮮野菜,105.5,
指数,2018年3月,全国,1401 キャベツ,166.8,
指数,2018年3月,全国,1402 ほうれんそう,82.5,
指数,2018年3月,全国,1403 はくさい,159.1,
指数,2018年3月,全国,1405 ねぎ,112.1,
指数,2018年3月,全国,1406 レタス,127.5,
指数,2018年3月,全国,1409 ブロッコリー,97.6,
指数,2018年3月,全国,1407 もやし,97.9,
指数,2018年3月,全国,1410 アスパラガス,90.2,
指数,2018年3月,全国,1411 さつまいも,83.9,
指数,2018年3月,全国,1412 じゃがいも,88.2,
指数,2018年3月,全国,1413 さといも,90,
指数,2018年3月,全国,1414 だいこん,152.2,
指数,2018年3月,全国,1415 にんじん,106.2,
指数,2018年3月,全国,1416 ごぼう,104.3,
指数,2018年3月,全国,1417 たまねぎ,104.9,
指数,2018年3月,全国,1419 れんこん,86.8,
指数,2018年3月,全国,1420 ながいも,111.6,
指数,2018年3月,全国,1421 しょうが,101.4,
指数,2018年3月,全国,1432 さやいんげん,98.8,
指数,2018年3月,全国,1433 かぼちゃ,87.4,
指数,2018年3月,全国,1434 きゅうり,87.8,
指数,2018年3月,全国,1435 なす,113.8,
指数,2018年3月,全国,1436 トマト,94.4,
指数,2018年3月,全国,1437 ピーマン,101,
指数,2018年3月,全国,1438 生しいたけ,104.7,
指数,2018年3月,全国,1442 えのきたけ,100.6,
指数,2018年3月,全国,1443 しめじ,102.6,
指数,2018年3月,全国,0023 乾物・加工品類,96.9,
指数,2018年3月,全国,0024 乾物・海藻,95.8,
指数,2018年3月,全国,1453 干ししいたけ,99.5,
指数,2018年3月,全国,1461 干しのり,97.8,
指数,2018年3月,全国,1462 わかめ,93.9,
指数,2018年3月,全国,1463 こんぶ,90.7,
指数,2018年3月,全国,1464 ひじき,96.5,
指数,2018年3月,全国,0025 大豆加工品,97.8,
指数,2018年3月,全国,1471 豆腐,98.7,
